From,Description,To
188,"Female diovarial, amphidelphic", 76
188,"Female monovarial, prodelphic","Hulqus Siddiqi, 1982"
189,Odontostyle dorylaimoid; lip region slightly asymmetrical,"Oxydirus Thorne, 1939"
189,Odontostyle slender; lip region symmetrical,190
190,"Female diovarial, amphidelphic",191
190,"Female monovarial, prodelphic",194
191,Vestibule of stoma with basket-like chamber,"Swangeria Thorne, 1939"
191,Vestibule of stoma without basket-like chamber,192
192,Body length > 3mm,"Paraoxydirus Jairajpuri & Ahmad, 1979"
192,Body length 1-2 mm,193
193,Posterior part of esophagus with distinct muscular sheath,"Qudsiella Jairajpuri, 1987"
193,Posterior part of esophagus without muscular sheath,"Durinemella Andrassy, 2009"
194,Cephalic region with subcuticular sclerotization (collar),"Oxybelondira Ahmad & Jairajpuri, 1979"
194,Cephalic region without subcuticular sclerotization,"Paraoxybelondira Dhanam & Jairajpuri, 1999"
195,Cuticle inner layer loose with irregular radial elements (tylencholaimoid),196
195,Cuticle inner layer compact without radial elements (dorylaimoid),197
196,"Odontostyle slender, often without detectable lumen or aperture; basal expansion of esophagus short, 1/5 to 1/3 of esophagus length",200
196,Odontostyle more robust with distinct lumen and aperture; basal expansion of esophagus > 1/3 of esophagus length,224
197,Labial papillae cornuate or setiform; cuticle often divided into small blocks,247
197,"Labial papillae normal, papilliform",198
198,"Odontostyle short and asymmetrical or curved, odontophore also asymmetrical",252
198,Odontostyle and odontophore symmetrical,199
199,"Esophagus with three sections: a long slender, gradually-expanding anterior part, a slender intermediate part surrounded by glandular tissue, and a pyriform basal expansion",256
199,"Esophagus dorylaimoid, a narrower anterior section and a broader posterior section",259
200,"Odontostyle very slender, needle-like, without visible lumen or aperture",201
200,Odontostyle usually slender but with distinct lumen and aperture,206
201,Females diovarial,"Glochidorella Siddiqi, 1982"
201,Females monovarial,202
202,Females prodelphic,203
202,Females opisthodelphic,204
203,Lip region rounded; odontophore flanged,"Zetalaimus Siddiqi, 1982"
203,Lip region cap-like; odontophore simple,"Trichonchium Siddiqi & Khan, 1964"
204,"Odontophore simple, rod-like","Basirotyleptus Jairajpuri, 1964"
204,Odontophore flanged,205
205,Odontostyle length < lip width; lip-region cap-like,"Aculonchus Siddiqi, 1982"
205,Odontostyle length > lip width; lip-region rounded,"Sclerostylus Goseco, Ferris & Ferris, 1981"
206,Odontostyle length several times > lip width,207
206,Odontostyle length <= lip width,208
207,Body length of adult 1-3mm; odontophore flanged,"Xiphinemella Loos, 1950"
207,Body length of adult around 0.5mm; odontophore not flanged,"Kantbhala Siddiqi, 1982"
208,Odontostyle thick with wide lumen and distinct aperture,209
208,Odontostyle thin with very narrow lumen and minute aperture,212
209,Odontostyle asymmetric; female gonad prodelphic,"Scalpenchus Siddiqi, 1995"
209,Odontostyle symmetrical; female monovarial opisthodelphic or diovarial amphidelphic,210
210,Odontostyle length +/- 2x lip width,"Utahnema Thorne, 1939"
210,Odontostyle length <1x lip width,211
211,Oral aperture surrounded by inner liplets,"Tyleptus Thorne, 1939"
211,Oral aperture without inner liplets,"Gymnotyleptus Ahmad & Jairajpuri, 1982"
212,Female diovarial,213
212,Female monovarial,220
213,Odontophore with basal knobs,"Clavigula Siddiqi, 1995"
213,"Odontophore simple, without basal swellings",214
214,"Male with 12-20 supplements, contiguous or closely spaced","Meylis Goseco, Ferris & Ferris, 1974"
214,"Male with 0-10 supplements, widely spaced",215
215,Vulva pore-like,"Apoleptonchus Siddiqi, 1982"
215,Vulva transverse or longitudinal,216
216,"Lip region continuous with body contour, lip-region rounded","Bertzuckermania Khera, 1970"
216,"Lip region offset from body contour, lip-region cap-like",217
217,Posterior part of esophagus with two constrictions; intestine surrounding posterior bulb,"Incanema Andrassy, 1997"
217,Posterior part of esophagus with one constriction; intestine not surrounding posterior bulb,218
218,Vulva longitudinal,"Funaria Van der Linde, 1938"
218,Vulva transverse,219
219,"Posterior expansion of esophagus pyriform, about 1/5 of esophagus length; odontophore arcuate","Leptonchus Cobb, 1920"
219,"Posterior expansion of esophagus cylindrical, about 1/3 of esophagus length; odontophore straight","Sclerolaimus Jairajpuri & Ahmad, 1992"
220,Female gonad opisthodelphic,"Caveonchus Siddiqi, 1982"
220,Female gonad prodelphic,221
221,Tail filiform in both sexes,"Loncharionema Goseco, Ferris & Ferris, 1974"
221,Tail short in both sexes,222
222,Anterior slender region of esophagus convoluted; basal expansion 1/10 of esophagus length,"Paraleptonchus Dhanam & Jairajpuri, 1999"
222,Anterior slender region of esophagus not convoluted; basal expansion about 1/4 of esophagus length,223
223,Stoma flask-like,"Proleptonchus Lordello, 1955"
223,Stoma tubular,"Proleptonchoides Ferris, Goseco & Kumar, 1979"
224,Odontostyle with thick walls,225
224,Odontostyle with normal walls,229
225,Tail filiform in both sexes; body length about 1mm,"Pachydorylaimus Siddiqi, 1983"
225,Tail short and rounded in both sexes; body length 2-6mm,226
226,Odontostyle >1x lip width; curved,227
226,Odontostyle <1x lip width; straight,228
227,"Head rounded, broad; male supplements in double ventral rows","Vanderlinea Heyns, 1964"
227,Head cap-like; male supplements in a single ventromedian row,"Curvidorylaimus Jairajpuri & Rahman, 1983"
228,Vulva longitudinal,"Neometadorylaimus Jairajpuri & Ahmad, 1982"
228,Vulva transverse,"Metadorylaimus Jairajpuri & Goodey, 1966"
229,Amphids small with minute pore-like aperture,230
229,Amphids larger with slit-like aperture,232
230,"Odontostyle irregular shape, length >1x lip width","Mumtazium Siddiqi, 1969"
230,"Odontostyle regular shape, length <1x lip width",231
231,"Female diovarial, amphidelphic; odontostyle fusiform","Promumtazium Siddiqi, 1982"
231,"Female monovarial, opisthodelphic; odontostyle slender","Tantunema Siddiqi, 1982"
232,"Tail long, filiform in both sexes",233
232,Tail short in both sexes,236
233,Body length 1.7-2.8 mm,"Oxydiroides Altherr, 1972"
233,Body length 0.8-1.5 mm,234
234,"Odontophore with basal knobs; female monovarial, prodelphic","Discomyctus Thorne, 1939"
234,"Odontophore simple without basal knobs; female diovarial, amphidelphic",235
235,Perioral disc present; odontostyle irregular shape,"Lawtonema Siddiqi, 1999"
235,Perioral disc absent; odontostyle regular shape,"Wasimellus Bloemers & Wanless, 1996"
236,Subcuticle with distinct regular striations,"Cricodorylaimus Ahmad & Sturhan, 2001"
236,Subcuticle with less distinct and irregular striations,237
237,Odontostyle distinctly longer than lip width,238
237,Odontostyle <=1x lip width,239
238,Lip region rounded; odontostyle slightly curved,"Chitwoodius Furstenberg & Heyns, 1966"
238,Lip region cap-like with elevated liplets; odontostyle straight,"Chitwoodielloides Ahmad & Araki, 2123"
239,Odontophore with small basal knobs,240
239,Odontophore without basal knobs,243
240,Lip region cap-like with elevated inner liplets,241
240,Lip region more or less rounded,242
241,Stoma surrounded by a small sclerotized ring,"Tylenchodoroides Gagarin, 2121"
241,Stoma without sclerotized ring,"Tylencholaimus de Man, 1876"
242,Odontostyle thick; tail hemispherical,"Pseudotylencholaimus Jairajpuri & Ahmad, 1992"
242,Odontostyle thin; tail conical,"Tylenchodorus Siddiqi, 1983"
243,"Lip region rounded, slightly offset; odontostyle irregular","Rostrulium Siddiqi, 1995"
243,"Lip region cap-like, strongly offset; odontostyle regular",244
244,"Female diovarial, amphidelphic","Chitwoodiellus Jimenez & Peña-Santiago, 1992"
244,"Female monovarial, prodelphic",245
245,Perioral disk present; body length 1.7-2 mm,"Capilonchus Siddiqi, 1982"
245,Perioral disk absent; body length short 0.4-0.6 mm,"Meylonema  Andrassy, 1960"
247,Cuticle tessellated,248
247,Cuticle smooth,250
248,"Females monovarial, opisthodelphic; posterior part of esophagus pyriform","Encholaimus Golden & Murphy, 1967"
248,"Females diovarial, amphidelphic; posterior part of esophagus cylindroid",249
249,"Outer labial sensilla long, setose","Helmabia Siddiqi, 1971"
249,Outer labial sensilla very short,"Nemabia Siddiqi, 1995"
250,"Inner labial papillae short, hardly elevated; female monovarial, prodelphic","Acephalodorylaimus Ahmad & Jairajpuri, 1983"
250,"Inner labial papillae setose; female monovarial, opisthodelphic or diovarial, amphidelphic",251
251,"Female diovarial, amphidelphic","Cephalodorylaimus Jairajpuri, 1967"
251,"Female monovarial, opisthodelphic","Echinodorus Siddiqi, 1995"
252,"Large nematodes, 3-7 mm",253
252,"Shorter nematodes, <3 mm",254
253,Males with two pairs of adcloacal supplements,"Timmus Goseco, Ferris & Ferris, 1976"
253,Males with one pair of adcloacal supplements,"Calolaimus Timm, 1964"
254,"Tails of females and males dissimilar, elongate in females and short and rounded in males","Morasia Baqri & Jairajpuri, 1969"
254,Tails of females and males similar,255
255,Expanded posterior of esophagus surrounded by a muscular sheath,"Mydonomus Thorne, 1964"
255,Expanded posterior of esophagus without muscular sheath,"Dorylaimoides Thorne & Swanger, 1936"
256,Tail short and rounded,257
256,Tail elongate conoid to filiform,258
257,Females monovarial,"Adenolaimus Andrassy, 1973"
257,Females diovarial,"Oostenbrinkia Ali, Suryawanshi & Ahmad, 1973"
258,Lips distinct with large papillae,"Cladocephalus Swart & Heyns, 1991"
258,Lips amalgamated with minute papillae,"Aulolaimoides Micoletzky, 1915"
259,Amphidial fovea strongly sclerotized,"Athernema Ahmad & Jairajpuri, 1978"
259,"Amphidial fovea simple, not sclerotized",260
260,Odontostyle with a convex stiffening piece,261
260,Odontostyle without stiffening piece,263
261,"Stiffening piece of odontostyle on ventral side; females monovarial, prodelphic","Dorella Jairajpuri, 1964"
261,"Stiffening piece of odontostyle on dorsal side; females monovarial, opisthodelphic",262
262,Labial framework sclerotized,"Margollus  Peña-Santiago, Peralta & Siddiqi, 1993"
262,Labial framework not sclerotized,"Tylencholaimellus Cobb, 1915"
263,"Female diovarial, amphidelphic",264
263,"Female monovarial, opisthodelphic",265
264,Odontophore with posterior knobs,"Phellonema Thorne, 1964"
264,"Odontophore simple, without knobs","Goferus Jairajpuri & Ahmad, 1992"
265,"Odontostyle very short, with tip appearing broken","Agmodorus Thorne, 1964"
265,Odontostyle normal,266
266,Tail filiform,"Oostenbrinkella Jairajpuri, 1965"
266,"Tail short, rounded","Doryllium Cobb, 1920"
